COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0399 1966      0     0    16    28   121   307   544   336   182    23     7     0   1564
0399 1967      0     0    52    80   110   349   351   310   150    48     1     0   1452
0399 1968      0     0    11    32   121   356   411   442   172    44     1     0   1591
0399 1969      0     0     1    44   161   317   547   398   231    58     1     0   1757
0399 1970      0     0     4    61   185   320   428   455   323    46     0     2   1823
0399 1971      0     0     5    24    96   414   431   350   290   139     2     5   1756
0399 1972      0     0    19    45   148   350   403   446   318    56     0     0   1786
0399 1973      0     0    32    13   111   329   459   401   268   103    12     0   1729
0399 1974      0     2    40    33   205   222   497   372   106    45     2     0   1526
0399 1975      2     0     4    27   189   318   436   420   148    61     3     0   1608
0399 1976      0    13    27    35    59   245   423   359   186    18     0     0   1365
0399 1977      0     2    26    62   236   415   512   456   320    51     3     0   2084
0399 1978      0     0     7    56   136   342   551   457   302    40     6     0   1896
0399 1979      0     0    17    26   113   291   431   393   177    75     0     0   1524
0399 1980      0     0     5    19   153   395   637   598   356    39     0     0   2201
0399 1981      0     0    14   106    86   388   501   387   199    35     4     0   1722
0399 1982      0     0    28    12   206   263   479   450   205    48     2     3   1697
0399 1983      0     0    10     4   105   274   483   557   259    67     6     0   1765
0399 1984      0     2     7    20   117   381   425   399   186    83     1    11   1632
0399 1985      0     0    35    48   158   337   475   437   223    77    12     0   1803
0399 1986      0     5    24    55   172   386   587   370   322    65     1     0   1987
0399 1987      0     2    16    34   269   360   459   526   240    21     2     0   1930
0399 1988      0     0    11    29   146   354   452   487   267    26     2     0   1775
0399 1989      4     0    17    34   128   276   384   406   166    53     9     0   1477
0399 1990      5     7    20    25   107   391   463   446   323    33    10     0   1829
0399 1991      0     4    24    56   241   387   487   415   215    74     0     1   1903
0399 1992      0     5    16    31   111   275   442   286   190    54     0     0   1411
0399 1993      0     0     7     9   121   332   562   502   193    30     0     0   1756
0399 1994      0     0    16    50   105   415   400   343   181    57     8     1   1576
0399 1995      0     1    20    27   138   281   459   561   180    55     1     0   1723
0399 1996      0     0     1    24   232   339   439   394   181    51     0     1   1663
0399 1997      0     3    25     7   100   282   504   386   255    52     0     0   1615
0399 1998      2     2     8    31   249   444   588   493   383    83     7     0   2290
0399 1999      1     7     7    64   136   340   512   503   227    52    13     0   1862
0399 2000      1     7    23    23   200   304   466   589   278    81     1     0   1973
0499 1931      3     2    14    35    96   113   340   277   107    39     1     0   1027
0499 1932      0     0     7    10    37    98   164   164   137    29    23     0    669
0499 1933      0     0     4     7    10    81   232   209    77    66    14     0    699
0499 1934      3     2    33    41    78    71   228   219   145    42     5     0    868
0499 1935      0     1     0    12    30   130   181   236   145    29     1     0    767
0499 1936      2     0     7    18    63   133   266   245   138    40    12     0    924
0499 1937      0     0     2    11    53   114   241   230   164    55     5     3    877
0499 1938      4     0     1    12    39   104   204   216   176    28     3     2    790
0499 1939      1     0     3    27    43   105   208   234   178    46    12     4    861
0499 1940      3     1     9    20    79   145   188   204    97    46     4     2    797
0499 1941      2     2     6     7    70    80   219   157    74    16    10     0    642
0499 1942      2     0     3     8    28    97   238   195    96    39     7     0    713
0499 1943      2     2     6    19    59    68   191   172   169    41     8     0    735
0499 1944      0     0     3     6    35    47   137   183   133    41     1     0    585
0499 1945      0     0     0    11    27    95   240   213   162    47     3     0    799
0499 1946      0     0     3    21    33   108   212   213   156    16     0     0    762
0499 1947      0     3     6    22    72   102   195   168   173    41     1     0    783
0499 1948      3     0     0    10    25    83   161   157   126    31     4     0    598
0499 1949      0     0     1    25    36   131   183   164   162    19    24     1    747
0499 1950      0     1     5    23    33    83   227   192   101    58    14     5    742
0499 1951      0     0     4    14    40    95   207   177   154    41     5     0    738
0499 1952      0     0     0    16    65    54   219   218   173    72     1     0    818
0499 1953      6     1     4     9    16    70   255   159   148    40     8     0    715
0499 1954      1     7     1    28    56    88   270   145   120    32    12     1    761
0499 1955      0     0     5     7    33    83   146   241   159    38     3     0    715
0499 1956      2     0     5     8    41   118   188   148   191    24    12     2    738
0499 1957      0     4     5    12    27   170   240   203   136    22     1     3    822
0499 1958      3     2     0    17    70   107   189   282   194   105     6     5    979
0499 1959      4     0    18    39    31   153   301   219   116    62    16     1    960
0499 1960      0     0     9    20    48   175   273   204   185    38     2     0    953
0499 1961      5     3     4    19    24   159   255   242    99    35     2     0    848
0499 1962      0     0     1    32    20    92   167   217   131    33     5     0    698
0499 1963      1     9     2     4    38    68   169   193   202    56     4     1    746
0499 1964      0     0     0     8    21    76   211   214   101    92     2     0    724
0499 1965      2     0     2     9    28    49   169   235    69    87     7     0    658
0499 1966      0     0     6    29    57   119   181   257   135    50     6     0    839
0499 1967      2     3     4     1    46    64   266   319   179    71    19     0    974
0499 1968      1     6     6    14    40   126   231   164   142    37     6     0    772
0499 1969      2     0     2    13    57    76   220   274   171    20     9     0    844
0499 1970      2     4     4     6    62   119   258   236   128    26     6     0    849
0499 1971      1     0     4     7    19    92   234   292   164    18     2     0    835
0499 1972      0     2    18    15    56   135   268   233   110    24     2     0    862
0499 1973      0     0     0    14    67   161   201   193    97    39     1     0    773
0499 1974      0     0     4    11    46   148   219   195   179    41     6     0    850
0499 1975      2     0     0     2    40    90   186   164   166    26     3     0    679
0499 1976      4     1     3     6    65   134   211   147   124    56    20     1    772
0499 1977      1     5     1    23    13   146   229   248   122    58    14     4    864
0499 1978      3     1    12     8    68   142   224   210   147    92     3     0    910
0499 1979      0     0     3    16    62   153   221   188   241    55     3     2    946
0499 1980      5     6     4    19    21    94   255   214   127    62     9     5    818
0499 1981      5     5     5    27    65   245   259   270   171    23     8     2   1084
0499 1982      1     3     2    13    49    70   201   237   142    46     2     0    766
0499 1983      4     3     5     6    56   104   198   276   228    84     5     0    968
0499 1984      5     3    14    18   117   129   317   280   285    36     2     0   1206
0499 1985      0     0     2    39    46   179   302   210    86    45     2     2    913
0499 1986     12     4    14    19    62   151   188   256    62    34    14     1    818
0499 1987      1     1     5    50    75   143   133   200   158    92     6     0    864
0499 1988      2     5    13    20    49   104   277   216   138    81     6     0    911
0499 1989      0     0    14    57    51   129   238   177   135    37    13     2    853
0499 1990      2     0     9    32    46   158   275   218   166    77    11     0    996
0499 1991      2     8     1    15    29    81   206   194   178    93    12     1    819
0499 1992      3     5     6    54   111   122   233   293   186    72     8     0   1092
0499 1993      0     1    16    32    77   140   178   215   154    62     6     0    880
0499 1994      4     0    14    22    43   166   228   291   167    40     0     1    976
0499 1995      2    10     7    14    26    91   228   261   193    69    21     2    921
0499 1996      4     4     9    39    78   151   290   289   144    34     8     1   1051
0499 1997      3     2    20    27   151   129   211   272   239    53    12     0   1121
0499 1998      3     0     6     7    20    75   247   317   147    31     4     0    857
0499 1999      4     1     2     7    40    95   199   192   142    94    11     2    787
0499 2000      5     3     6    34    87   173   194   251   159    33     1     2    947
0599 1931      0     0     0     0     3   110   176    96    52     2     0     0    439
0599 1932      0     0     0     0     7    45   176   123    22     0     0     0    373
0599 1933      0     0     0     0     3   125   177    75    48     3     0     0    431
0599 1934      0     0     0     0    33    89   229   161     9     2     0     0    523
0599 1935      0     0     0     0     0    60   170   131    19     0     0     0    379
0599 1936      0     0     0     0    12   105   201   126    23     0     0     0    468
0599 1937      0     0     0     0     7    39   158   180    37     1     0     0    423
0599 1938      0     0     0     0     2    57    97   133    25     2     0     0    316
0599 1939      0     0     0     0    10    53   170    82    38     1     0     0    353
0599 1940      0     0     0     0     8    78   155    81    27     3     0     0    352
0599 1941      0     0     0     0     9    29    94    80    10     0     0     0    223
0599 1942      0     0     0     0     2    40   114    86    11     0     0     0    252
0599 1943      0     0     0     2     0    49   152   143    17     0     0     0    364
0599 1944      0     0     0     0     6    43    89   106    19     1     0     0    264
0599 1945      0     0     0     0     4    14   105    95     8     0     0     0    225
0599 1946      0     0     0     3     0    75   145    84    20     0     0     0    329
0599 1947      0     0     0     0     2    21   122   123    35     4     0     0    307
0599 1948      0     0     0     1     4    53   115    97    46     1     0     0    317
0599 1949      0     0     0     0     5    47   124    86    20     0     0     0    282
0599 1950      0     0     0     0     2    61    62    49     9     8     0     0    191
0599 1951      0     0     0     0     4    16   144    88    14     0     0     0    266
0599 1952      0     0     0     0     7   138   135   112    32     2     0     0    426
0599 1953      0     0     0     0     3   110   157    90    41     1     0     0    402
0599 1954      0     0     0     3     3    98   226   119    48     1     0     0    498
0599 1955      0     0     0     0     7    36   182   141    27     2     0     0    395
0599 1956      0     0     0     0    21   137   117    69    37     3     0     0    384
0599 1957      0     0     0     0     2    50   153   117    13     1     0     0    337
0599 1958      0     0     0     0    20    78    96   146    35     1     0     0    377
0599 1959      0     0     0     0     7   108   121   135    15     0     0     0    387
0599 1960      0     0     0     0     4    78   119   123    35     1     0     0    361
0599 1961      0     0     0     0     6    59   100   102     3     0     0     0    270
0599 1962      0     0     0     0     7    33    85    92    17     1     0     0    234
0599 1963      0     0     0     0    11    68   177    75    42     6     0     0    380
0599 1964      0     0     0     0     5    42   182    61    14     0     0     0    303
0599 1965      0     0     0     0     2    28   100    51     1     0     0     0    181
0599 1966      0     0     0     0     8    49   182    59    19     0     0     0    317
0599 1967      0     0     0     0     0    23    92    45    11     0     0     0    171
0599 1968      0     0     0     0     2    66    88    42     9     1     0     0    209
