HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
0599 1943     18    27   238   537   867  1150  1240  1049  1065   785   359   153   7489
0599 1944     42    37   220   477   866  1205  1171   987   880   797   375   249   7307
0599 1945     39    49   291   499   856  1237  1192   968   786   436   486   123   6964
0599 1946     16    49   218   615  1037  1016  1233  1064  1008   682   379   218   7536
0599 1947     29    30   158   449  1080  1165  1311  1161  1171   573   346   138   7611
0599 1948     27    39   146   546  1010  1207  1554  1116   917   589   347   147   7645
0599 1949     25    49   228   610   649  1156  1236   890   951   631   467   132   7024
0599 1950     62    86   261   342   878  1004  1273   989  1015   720   361   242   7231
0599 1951     24    55   246   602   969  1238  1157  1011  1097   626   368    62   7454
0599 1952     20    36   172   488  1069  1190   963  1024   817   761   470    84   7093
0599 1953     13    46   155   465   790  1189  1064   733  1016   468   357    98   6394
0599 1954      6    35   149   495   760  1104  1302  1177   990   603   330   175   7125
0599 1955     17    27   184   471   988  1071  1089  1178   928   674   275    53   6957
0599 1956     26    64   155   448   988  1086  1321   835   935   771   457   149   7235
0599 1957     20    40   255   512   976   962  1166   897  1123   725   254    97   7026
0599 1958     40    20   176   486   848  1056  1213  1067   963   671   364    72   6977
0599 1959     23    29   262   617   920  1041  1294  1234   954   550   373   104   7401
0599 1960     23    29   170   519   854  1211  1180   947   937   701   367   121   7059
0599 1961     35    47   371   565  1004  1310  1459   999  1067   568   333   172   7928
0599 1962     47    50   223   457   804  1089  1500   905   960   597   292   122   7046
0599 1963     12    61   141   366   816  1248  1256  1199  1144   709   360   169   7482
0599 1964     12    85   242   528   934  1195  1100  1118  1263   604   411   202   7694
0599 1965     39   101   410   457   771  1082  1333  1180   856   692   326   150   7396
0599 1966     12    75   216   574   834  1216  1129   990   797   621   484   227   7175
0599 1967     39    88   252   506   901  1352  1233  1001   926   780   481   123   7680
0599 1968     41   100   274   504   992  1244  1112  1007  1164   552   320   244   7553
0599 1969     26    25   204   830   940  1149  1223   905  1105   808   340   168   7723
0599 1970     33    31   306   722   905  1140  1197  1088   990   684   477   125   7699
0599 1971     53    53   347   607   928  1233  1250   950   778   627   420   124   7368
0599 1972     55    74   254   567  1154  1394  1358  1082  1013   840   464   161   8418
0599 1973     59    48   305   510   892  1177  1373  1028   822   680   303   125   7321
0599 1974     23   104   320   509   933  1272  1246  1109  1007   768   486   203   7980
